0 1 2
81 41 1
82 27 1
82 83 1
83 82 1
83 84 1
83 77 1
83 164 1
84 83 1
85 86 1
86 85 1
86 77 1
87 77 1
87 17 1
88 47 1
88 89 1
88 90 1
88 91 1
89 88 1
89 93 1
90 88 1
90 77 1
90 47 1
90 164 1
90 177 1
91 88 1
91 77 1
91 47 1
91 164 1
91 177 1
92 47 2
92 93 1
93 92 1
93 47 1
93 89 1
93 180 1
94 22 3
95 47 1
95 96 2
96 95 2
96 77 1
96 41 2
96 284 1
97 98 1
98 97 1
99 17 1
100 101 2
101 100 2
102 103 1
103 102 1
103 120 1
103 250 1
103 251 2
104 105 1
104 106 1
105 104 1
105 160 1
105 161 2
105 162 2
105 163 2
105 164 1
105 165 2
105 166 3
105 167 2
105 168 1
105 169 1
105 170 1
105 171 1
105 172 1
105 173 1
105 174 1
105 175 1
106 104 1
106 178 1
106 132 1
107 77 1
108 77 1
109 77 1
110 77 1
110 249 4
110 17 1
111 77 1
111 143 2
112 77 1
112 8 1
112 29 2
112 252 1
112 200 2
112 154 1
113 77 1
113 44 2
113 253 1
113 254 1
114 77 1
114 30 2
114 118 2
114 120 2
114 255 1
114 132 2
114 176 1
114 50 2
114 256 2
114 257 3
115 77 1
115 33 3
115 120 2
115 247 2
115 260 1
116 77 1
116 244 3
116 125 3
116 134 3
116 14 4
116 216 3
117 77 1
117 26 1
117 171 1
117 118 1
117 120 2
117 176 1
117 135 1
117 150 1
117 12 1
117 151 2
117 48 1
118 77 1
118 26 1
118 30 1
118 114 2
118 117 1
118 120 1
118 255 1
118 132 4
118 256 1
118 146 1
118 151 1
119 77 1
119 237 1
119 238 1
119 120 2
119 151 1
120 77 1
120 25 1
120 26 1
120 27 2
120 44 1
120 30 1
120 33 1
120 103 1
120 171 1
120 114 2
120 115 2
120 117 2
120 118 1
120 119 2
120 253 1
120 135 1
120 150 1
120 12 1
120 151 1
120 264 1
121 77 1
122 77 1
122 31 2
123 77 1
123 228 1
123 234 1
123 240 5
123 235 2
123 123 4
124 77 1
124 248 1
124 136 1
125 77 1
125 244 1
125 116 3
126 77 1
126 47 1
127 77 1
127 47 2
127 219 1
128 77 1
128 47 1
128 6 1
128 185 1
128 214 1
129 77 1
130 77 1
131 77 1
131 131 2
132 77 2
132 178 1
132 106 1
132 233 1
132 30 1
132 114 2
132 118 4
133 77 1
133 186 1
134 77 1
134 248 1
134 116 3
135 77 1
135 117 1
135 120 1
136 77 1
136 261 2
136 124 1
137 77 1
137 221 1
137 25 1
138 77 1
138 248 1
139 77 1
139 261 2
140 77 1
140 242 1
140 243 1
140 281 2
140 220 1
141 77 1
141 47 1
142 77 1
142 47 1
143 77 1
143 111 2
144 77 1
145 77 1
145 224 1
145 62 1
145 221 1
145 25 1
146 77 1
146 118 1
146 277 1
147 77 2
147 249 1
147 60 1
148 77 1
148 6 1
148 185 1
149 77 1
149 6 1
149 55 1
149 185 1
150 77 1
150 117 1
150 120 1
151 77 1
151 117 2
151 118 1
151 119 1
151 120 1
152 77 1
153 77 1
153 47 1
154 77 1
154 112 1
154 215 1
155 77 1
155 155 2
156 77 1
156 47 1
157 77 1
157 47 2
157 157 2
158 77 1
158 23 1
159 77 2
159 261 1
159 232 2
159 278 1
160 105 1
160 175 1
161 105 2
161 162 2
161 163 2
161 164 1
161 165 1
161 166 2
161 167 2
161 176 1
162 105 2
162 161 2
162 163 2
162 164 1
162 177 1
162 165 1
162 166 2
162 167 2
163 105 2
163 161 2
163 162 2
163 164 1
163 165 1
163 166 2
163 167 2
164 105 1
164 161 1
164 162 1
164 163 1
164 47 1
164 165 1
164 166 1
164 167 1
164 183 1
164 83 1
164 90 1
164 232 1
164 91 1
164 39 1
164 12 1
164 60 1
165 105 2
165 161 1
165 162 1
165 163 1
165 47 1
165 164 1
165 165 2
165 166 1
165 167 1
165 78 1
166 105 3
166 161 2
166 162 2
166 163 2
166 164 1
166 165 1
166 167 2
166 175 1
167 105 2
167 161 2
167 162 2
167 163 2
167 164 1
167 165 1
167 166 2
168 105 1
168 173 1
169 105 1
169 47 1
169 229 1
170 105 1
170 171 1
171 105 1
171 170 1
171 117 1
171 120 1
171 186 1
172 105 1
173 105 1
173 168 1
173 174 1
174 105 1
174 173 1
175 105 1
175 160 1
175 47 1
175 166 1
176 161 1
176 47 1
176 114 1
176 117 1
176 23 1
177 162 1
177 47 1
177 90 1
177 91 1
178 47 1
178 106 1
178 183 1
178 132 1
178 220 1
179 47 1
179 221 1
179 222 1
180 47 1
180 240 2
180 93 1
180 206 1
181 47 1
181 234 2
181 235 1
181 60 1
182 47 1
182 182 4
183 47 1
183 178 1
183 164 1
183 18 1
184 47 1
184 22 2
185 47 1
185 6 1
185 189 1
185 128 1
185 192 1
185 199 1
185 148 1
185 149 1
186 47 1
186 171 1
186 133 1
187 47 2
187 197 1
188 47 1
188 196 1
189 47 1
189 185 1
190 47 1
190 41 2
190 190 6
191 47 1
192 47 1
192 185 1
193 47 1
194 47 1
194 41 1
195 47 1
196 47 1
196 249 2
196 188 1
197 47 1
197 225 1
197 218 1
197 249 1
197 187 1
197 60 1
198 47 1
199 47 2
199 185 1
200 47 1
200 112 2
201 47 1
202 47 1
202 23 1
203 47 1
204 47 1
204 244 1
205 47 1
205 41 3
205 205 4
206 47 1
206 180 1
206 240 3
207 47 1
208 47 1
209 47 1
209 23 1
210 47 1
211 47 1
212 47 2
212 231 1
213 47 1
214 47 1
214 128 1
215 47 1
215 154 1
216 47 1
216 244 1
216 116 3
217 218 1
217 1 1
218 217 1
218 1 1
218 197 1
219 127 1
220 178 1
220 140 1
221 179 1
221 137 1
221 145 1
222 179 1
223 39 1
224 145 1
225 197 1
226 227 1
227 226 1
227 270 2
228 123 1
228 73 1
229 169 1
229 230 1
230 229 1
230 268 1
230 269 1
230 272 2
230 273 1
231 212 1
232 164 1
232 261 1
232 278 2
232 159 2
233 132 1
234 1 1
234 181 2
234 235 1
234 123 1
235 234 1
235 181 1
235 123 2
236 1 1
237 119 1
238 119 1
239 240 1
240 239 1
240 180 2
240 123 5
240 206 3
240 45 1
240 259 1
241 22 1
242 243 2
242 17 1
242 140 1
243 242 2
243 140 1
244 116 3
244 125 1
244 17 2
244 204 1
244 216 1
245 8 2
246 31 1
247 33 1
247 115 2
248 124 1
248 134 1
248 138 1
249 110 4
249 196 2
249 197 1
249 147 1
249 58 1
250 103 1
251 103 2
252 112 1
253 113 1
253 120 1
254 113 1
255 114 1
255 118 1
256 114 2
256 118 1
257 114 3
257 257 2
258 41 1
259 240 1
260 115 1
260 267 4
261 136 2
261 232 1
261 139 2
261 262 2
261 263 1
261 159 1
262 261 2
262 262 2
263 261 1
264 120 1
265 266 2
266 265 2
267 67 1
267 260 4
268 230 1
269 230 1
270 271 1
270 227 2
271 270 1
272 230 2
272 274 1
273 230 1
274 272 1
275 23 1
276 23 1
277 146 1
278 232 2
278 159 1
279 280 1
280 279 1
281 140 2
282 283 1
283 282 1
284 96 1
285 4 2
